date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:12	68/68	------	200	untouched ('OK')	text/plain	etag:%2269129607-44%22	https://www.bycigar.com/robots.txt		(from )
13:46:12	182298/182298	------	200	untouched ('OK')	text/html	date:Thu,%2026%20Mar%202026%2005:12:58%20GMT	https://www.bycigar.com/	./bycigar_site/www.bycigar.com/index.html	(from )
13:46:12	490/490	------	302	error ('Found')	text/html	date:Thu,%2026%20Mar%202026%2005:45:46%20GMT	https://www.bycigar.com/zh-cn/locales/switch/en	./bycigar_site/www.bycigar.com/zh-cn/locales/switch/en.12.delayed	(from https://www.bycigar.com/)
13:46:12	877/877	------	200	untouched ('')	image/png	etag:%2268ec631a-36d%22	https://www.bycigar.com/static/media/favicon.png	./bycigar_site/www.bycigar.com/static/media/favicon.png	(from https://www.bycigar.com/)
13:46:12	407557/407557	------	200	untouched ('OK')	text/css	etag:W/%2268ef3e04-63805%22	https://www.bycigar.com/static/themes/dark/css/bootstrap.css?v=1760509444	./bycigar_site/www.bycigar.com/static/themes/dark/css/bootstrap8973.css	(from https://www.bycigar.com/)
13:46:12	86871/86871	------	200	untouched ('OK')	text/css	etag:W/%22698abfe5-15357%22	https://www.bycigar.com/static/themes/dark/css/common.css?v=1770700773	./bycigar_site/www.bycigar.com/static/themes/dark/css/commonc6ae.css	(from https://www.bycigar.com/)
13:46:12	4648/4648	------	200	untouched ('OK')	text/css	etag:W/%22698abfe5-1228%22	https://www.bycigar.com/static/themes/dark/css/desktop-overrides.css?v=1770700773	./bycigar_site/www.bycigar.com/static/themes/dark/css/desktop-overridesc6ae.css	(from https://www.bycigar.com/)
13:46:12	6515/6515	------	200	untouched ('OK')	text/css	etag:W/%22698ac5e9-1973%22	https://www.bycigar.com/static/themes/dark/css/sale-popup.css?v=1770702313	./bycigar_site/www.bycigar.com/static/themes/dark/css/sale-popupfb6f.css	(from https://www.bycigar.com/)
13:46:12	158090/158090	------	200	untouched ('')	application/javascript	etag:W/%2268ef3e04-2698a%22	https://www.bycigar.com/static/themes/dark/js/app.js?v=1760509444	./bycigar_site/www.bycigar.com/static/themes/dark/js/app8973.js	(from https://www.bycigar.com/)
13:46:12	10815/10815	------	200	untouched ('')	application/javascript	etag:W/%22698ac5e9-2a3f%22	https://www.bycigar.com/static/themes/dark/js/sale-popup.js?v=1770702313	./bycigar_site/www.bycigar.com/static/themes/dark/js/sale-popupfb6f.js	(from https://www.bycigar.com/)
13:46:12	3044/3044	------	200	untouched ('')	application/javascript	etag:W/%2268ef3e04-be4%22	https://www.bycigar.com/static/themes/dark/js/iconfont.js?v=1760509444	./bycigar_site/www.bycigar.com/static/themes/dark/js/iconfont8973.js	(from https://www.bycigar.com/)
13:46:13	160/160	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Mar%202026%2005:46:14%20GMT	http://www.bycigar.com/zh-cn/product-magnum-54-h-upmann-11025	./bycigar_site/www.bycigar.com/zh-cn/product-magnum-54-h-upmann-11025.13.delayed	(from https://www.bycigar.com/)
13:46:14	490/490	------	302	error ('Found')	text/html	date:Thu,%2026%20Mar%202026%2005:45:47%20GMT	https://www.bycigar.com/zh-cn/locales/switch/zh-cn	./bycigar_site/www.bycigar.com/zh-cn/locales/switch/zh-cn.15.delayed	(from https://www.bycigar.com/)
13:46:14	19401/19401	------	200	untouched ('')	application/javascript	etag:W/%2269ba3290-4bc9%22	https://www.bycigar.com/static/plugins/onlinesupport/js/online-support.js	./bycigar_site/www.bycigar.com/static/plugins/onlinesupport/js/online-support.js	(from https://www.bycigar.com/)
13:46:14	87533/87533	------	200	untouched ('')	application/javascript	etag:W/%2268ecba75-155ed%22	https://www.bycigar.com/vendor/jquery/jquery-3.7.1.min.js	./bycigar_site/www.bycigar.com/vendor/jquery/jquery-3.7.1.min.js	(from https://www.bycigar.com/)
13:46:14	22738/22738	------	200	untouched ('')	application/javascript	etag:W/%2268ecba75-58d2%22	https://www.bycigar.com/vendor/layer/3.5.1/layer.js	./bycigar_site/www.bycigar.com/vendor/layer/3.5.1/layer.js	(from https://www.bycigar.com/)
13:46:14	80721/80721	------	200	untouched ('')	application/javascript	etag:W/%2268ecba75-13b51%22	https://www.bycigar.com/vendor/bootstrap/js/bootstrap.bundle.min.js	./bycigar_site/www.bycigar.com/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://www.bycigar.com/)
13:46:14	358/358	------	200	untouched ('OK')	text/css	etag:%2268ef3e04-166%22	https://www.bycigar.com/static/themes/dark/css/app.css?v=1760509444	./bycigar_site/www.bycigar.com/static/themes/dark/css/app8973.css	(from https://www.bycigar.com/)
13:46:14	520/520	------	200	untouched ('OK')	text/css	etag:%2268f1c01d-208%22	https://www.bycigar.com/static/themes/dark/css/iconfont.css?v=1760673821	./bycigar_site/www.bycigar.com/static/themes/dark/css/iconfont4f5d.css	(from https://www.bycigar.com/)
13:46:14	148159/148159	------	200	untouched ('')	application/javascript	etag:W/%2268ecba75-242bf%22	https://www.bycigar.com/vendor/swiper/swiper-bundle.min.js	./bycigar_site/www.bycigar.com/vendor/swiper/swiper-bundle.min.js	(from https://www.bycigar.com/)
13:46:14	18435/18435	------	200	untouched ('OK')	text/css	etag:W/%2268ecba75-4803%22	https://www.bycigar.com/vendor/swiper/swiper-bundle.min.css	./bycigar_site/www.bycigar.com/vendor/swiper/swiper-bundle.min.css	(from https://www.bycigar.com/)
13:46:14	160643/160643	------	200	untouched ('OK')	text/html	date:Thu,%2026%20Mar%202026%2005:13:16%20GMT	https://www.bycigar.com/zh-cn/services	./bycigar_site/www.bycigar.com/zh-cn/services.html	(from https://www.bycigar.com/)
13:46:14	3196/3196	------	200	untouched ('')	image/png	etag:W/%2268ecba75-c7c%22	https://www.bycigar.com/images/flag/zh-cn.png	./bycigar_site/www.bycigar.com/images/flag/zh-cn.png	(from https://www.bycigar.com/)
13:46:14	0/-1	---M--	301	error ('')			http://www.bycigar.com/zh-cn/product-magnum-54-h-upmann-11025	./bycigar_site/www.bycigar.com/zh-cn/product-magnum-54-h-upmann-11025.16.delayed	(from https://www.bycigar.com/)
13:46:14	490/490	------	302	error ('Found')	text/html	date:Thu,%2026%20Mar%202026%2005:45:48%20GMT	https://www.bycigar.com/zh-cn/currencies/switch/usd	./bycigar_site/www.bycigar.com/zh-cn/currencies/switch/usd.17.delayed	(from https://www.bycigar.com/)
